Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-05-17,135500.0,136500.0,134500.0,134500.0,95687.6484375,314839,2026-02-19 06:47:45.287325+00:00
2016-05-18,135000.0,135500.0,132000.0,133000.0,94620.4921875,630692,2026-02-19 06:47:45.287325+00:00
2016-05-19,132500.0,136000.0,132500.0,134500.0,95687.6484375,389055,2026-02-19 06:47:45.287325+00:00
2016-05-20,134000.0,135000.0,131500.0,132000.0,93909.0703125,462176,2026-02-19 06:47:45.287325+00:00
2016-05-23,133000.0,134500.0,133000.0,133000.0,94620.4921875,310458,2026-02-19 06:47:45.287325+00:00
2016-05-24,133000.0,135000.0,132000.0,133500.0,94976.2109375,355717,2026-02-19 06:47:45.287325+00:00
2016-05-25,134500.0,137000.0,134000.0,135000.0,96043.359375,500528,2026-02-19 06:47:45.287325+00:00
2016-05-26,136000.0,137000.0,134500.0,135000.0,96043.359375,342299,2026-02-19 06:47:45.287325+00:00
2016-05-27,136000.0,136500.0,135000.0,136000.0,96754.78125,346406,2026-02-19 06:47:45.287325+00:00
2016-05-30,136000.0,137500.0,135000.0,136500.0,97110.5078125,474129,2026-02-19 06:47:45.287325+00:00
2016-05-31,136500.0,139500.0,135000.0,139500.0,99244.8046875,1734508,2026-02-19 06:47:45.287325+00:00
2016-06-01,137500.0,138500.0,136500.0,138000.0,98177.6484375,507997,2026-02-19 06:47:45.287325+00:00
2016-06-02,138500.0,139000.0,136500.0,138000.0,98177.6484375,419054,2026-02-19 06:47:45.287325+00:00
2016-06-03,138000.0,139500.0,137500.0,138500.0,98533.3671875,352778,2026-02-19 06:47:45.287325+00:00
2016-06-07,138500.0,139500.0,137500.0,139500.0,99244.8046875,608452,2026-02-19 06:47:45.287325+00:00
2016-06-08,138500.0,141500.0,138500.0,139500.0,99244.8046875,598656,2026-02-19 06:47:45.287325+00:00
2016-06-09,139500.0,140500.0,137500.0,139000.0,98889.09375,578177,2026-02-19 06:47:45.287325+00:00
2016-06-10,138500.0,140000.0,138000.0,139000.0,98889.09375,350588,2026-02-19 06:47:45.287325+00:00
2016-06-13,138000.0,138500.0,135500.0,135500.0,96399.0625,476958,2026-02-19 06:47:45.287325+00:00
2016-06-14,135500.0,138500.0,135000.0,138500.0,98533.3671875,431039,2026-02-19 06:47:45.287325+00:00
2016-06-15,138000.0,139500.0,135000.0,135500.0,96399.0625,409607,2026-02-19 06:47:45.287325+00:00
2016-06-16,135500.0,136000.0,133500.0,134500.0,95687.6484375,399199,2026-02-19 06:47:45.287325+00:00
2016-06-17,136000.0,136500.0,133500.0,134500.0,95687.6484375,328695,2026-02-19 06:47:45.287325+00:00
2016-06-20,136000.0,138500.0,135500.0,136500.0,97110.5078125,305307,2026-02-19 06:47:45.287325+00:00
2016-06-21,136500.0,139000.0,135500.0,138000.0,98177.6484375,353879,2026-02-19 06:47:45.287325+00:00
2016-06-22,138500.0,141500.0,138500.0,140000.0,99600.5390625,413267,2026-02-19 06:47:45.287325+00:00
2016-06-23,140500.0,141500.0,140000.0,141000.0,100311.9453125,273960,2026-02-19 06:47:45.287325+00:00
2016-06-24,140500.0,142000.0,134500.0,139500.0,99244.8046875,901574,2026-02-19 06:47:45.287325+00:00
2016-06-27,141000.0,144000.0,139500.0,141500.0,100667.6640625,1031506,2026-02-19 06:47:45.287325+00:00
2016-06-28,141500.0,142000.0,138500.0,139000.0,98889.09375,570526,2026-02-19 06:47:45.287325+00:00
2016-06-29,140000.0,140000.0,137500.0,139000.0,99605.6640625,436045,2026-02-19 06:47:45.287325+00:00
2016-06-30,138000.0,138500.0,135500.0,135500.0,97097.59375,2700499,2026-02-19 06:47:45.287325+00:00
2016-07-01,136500.0,138000.0,136000.0,137000.0,98172.4921875,388387,2026-02-19 06:47:45.287325+00:00
2016-07-04,138000.0,139500.0,137000.0,137000.0,98172.4921875,518981,2026-02-19 06:47:45.287325+00:00
2016-07-05,136500.0,137000.0,134500.0,135000.0,96739.328125,389267,2026-02-19 06:47:45.287325+00:00
2016-07-06,134000.0,134500.0,129000.0,130000.0,93156.375,1098353,2026-02-19 06:47:45.287325+00:00
2016-07-07,131500.0,132500.0,130500.0,131000.0,93872.96875,351312,2026-02-19 06:47:45.287325+00:00
2016-07-08,131000.0,133000.0,129000.0,130500.0,93514.6875,472095,2026-02-19 06:47:45.287325+00:00
2016-07-11,130500.0,132000.0,130500.0,131000.0,93872.96875,395952,2026-02-19 06:47:45.287325+00:00
2016-07-12,131500.0,133000.0,131000.0,132000.0,94589.5703125,401323,2026-02-19 06:47:45.287325+00:00
2016-07-13,133000.0,135500.0,132500.0,135500.0,97097.59375,567236,2026-02-19 06:47:45.287325+00:00
2016-07-14,134000.0,134500.0,131000.0,131500.0,94231.2890625,688220,2026-02-19 06:47:45.287325+00:00
2016-07-15,132000.0,134000.0,132000.0,133000.0,95306.15625,608594,2026-02-19 06:47:45.287325+00:00
2016-07-18,133000.0,134000.0,131000.0,132000.0,94589.5703125,417748,2026-02-19 06:47:45.287325+00:00
2016-07-19,131500.0,132000.0,130000.0,130000.0,93156.375,630163,2026-02-19 06:47:45.287325+00:00
2016-07-20,129500.0,131000.0,129000.0,129500.0,92798.0859375,513880,2026-02-19 06:47:45.287325+00:00
2016-07-21,130000.0,131000.0,128500.0,130000.0,93156.375,459440,2026-02-19 06:47:45.287325+00:00
2016-07-22,130000.0,130500.0,129000.0,129000.0,92439.7890625,364418,2026-02-19 06:47:45.287325+00:00
2016-07-25,129500.0,136000.0,129500.0,135500.0,97097.59375,1182857,2026-02-19 06:47:45.287325+00:00
2016-07-26,135000.0,139500.0,134000.0,136000.0,97455.90625,1125762,2026-02-19 06:47:45.287325+00:00
2016-07-27,137000.0,137500.0,135000.0,137000.0,98172.4921875,450182,2026-02-19 06:47:45.287325+00:00
2016-07-28,137500.0,138000.0,135000.0,136000.0,97455.90625,451570,2026-02-19 06:47:45.287325+00:00
2016-07-29,135000.0,136000.0,132000.0,132000.0,94589.5703125,698032,2026-02-19 06:47:45.287325+00:00
2016-08-01,132500.0,136000.0,132500.0,135500.0,97097.59375,510753,2026-02-19 06:47:45.287325+00:00
2016-08-02,135500.0,135500.0,133000.0,134000.0,96022.75,383193,2026-02-19 06:47:45.287325+00:00
2016-08-03,133000.0,134000.0,130500.0,132000.0,94589.5703125,393748,2026-02-19 06:47:45.287325+00:00
2016-08-04,132500.0,133000.0,129500.0,130500.0,93514.6875,552854,2026-02-19 06:47:45.287325+00:00
2016-08-05,130500.0,133000.0,130500.0,133000.0,95306.15625,432472,2026-02-19 06:47:45.287325+00:00
2016-08-08,134000.0,134000.0,132000.0,133000.0,95306.15625,367241,2026-02-19 06:47:45.287325+00:00
2016-08-09,135000.0,137000.0,134500.0,136500.0,97814.2109375,590729,2026-02-19 06:47:45.287325+00:00
2016-08-10,135500.0,137000.0,134000.0,134000.0,96022.75,495316,2026-02-19 06:47:45.287325+00:00
2016-08-11,134000.0,135000.0,133500.0,134500.0,96381.0390625,340296,2026-02-19 06:47:45.287325+00:00
2016-08-12,135000.0,136000.0,134500.0,136000.0,97455.90625,441448,2026-02-19 06:47:45.287325+00:00
2016-08-16,136000.0,137000.0,133000.0,133000.0,95306.15625,564040,2026-02-19 06:47:45.287325+00:00
2016-08-17,133500.0,135000.0,133000.0,135000.0,96739.328125,456621,2026-02-19 06:47:45.287325+00:00
2016-08-18,134500.0,135000.0,132000.0,132500.0,94947.8515625,501557,2026-02-19 06:47:45.287325+00:00
2016-08-19,133000.0,134000.0,132000.0,132500.0,94947.8515625,375138,2026-02-19 06:47:45.287325+00:00
2016-08-22,132500.0,133000.0,131000.0,132000.0,94589.5703125,400250,2026-02-19 06:47:45.287325+00:00
2016-08-23,133000.0,134500.0,132000.0,132500.0,94947.8515625,421660,2026-02-19 06:47:45.287325+00:00
2016-08-24,132000.0,135500.0,131500.0,135500.0,97097.59375,725511,2026-02-19 06:47:45.287325+00:00
2016-08-25,136000.0,138000.0,134000.0,136500.0,97814.2109375,880226,2026-02-19 06:47:45.287325+00:00
2016-08-26,136500.0,137000.0,135000.0,135500.0,97097.59375,426273,2026-02-19 06:47:45.287325+00:00
2016-08-29,134000.0,134500.0,133000.0,134000.0,96022.75,328229,2026-02-19 06:47:45.287325+00:00
2016-08-30,133500.0,135000.0,132500.0,132500.0,94947.8515625,331306,2026-02-19 06:47:45.287325+00:00
2016-08-31,132000.0,133500.0,131000.0,133000.0,95306.15625,621524,2026-02-19 06:47:45.287325+00:00
2016-09-01,133000.0,133500.0,131500.0,131500.0,94231.2890625,572941,2026-02-19 06:47:45.287325+00:00
2016-09-02,132500.0,136500.0,132000.0,135000.0,96739.328125,1129376,2026-02-19 06:47:45.287325+00:00
2016-09-05,136000.0,139000.0,136000.0,139000.0,99605.6640625,681920,2026-02-19 06:47:45.287325+00:00
2016-09-06,138500.0,140000.0,138000.0,139500.0,99963.9765625,455216,2026-02-19 06:47:45.287325+00:00
2016-09-07,139500.0,140500.0,138000.0,139000.0,99605.6640625,515978,2026-02-19 06:47:45.287325+00:00
2016-09-08,139000.0,140000.0,136500.0,139000.0,99605.6640625,604332,2026-02-19 06:47:45.287325+00:00
2016-09-09,138000.0,140000.0,137500.0,139500.0,99963.9765625,430914,2026-02-19 06:47:45.287325+00:00
2016-09-12,138500.0,139500.0,137500.0,138500.0,99247.390625,447847,2026-02-19 06:47:45.287325+00:00
2016-09-13,140000.0,140500.0,138000.0,138500.0,99247.390625,560421,2026-02-19 06:47:45.287325+00:00
2016-09-19,137000.0,139500.0,136000.0,137000.0,98172.4921875,536712,2026-02-19 06:47:45.287325+00:00
2016-09-20,137000.0,139500.0,136500.0,138500.0,99247.390625,517081,2026-02-19 06:47:45.287325+00:00
2016-09-21,137500.0,138500.0,136500.0,138000.0,98889.0859375,464658,2026-02-19 06:47:45.287325+00:00
2016-09-22,138000.0,139500.0,137500.0,138000.0,98889.0859375,360424,2026-02-19 06:47:45.287325+00:00
2016-09-23,139500.0,142000.0,139000.0,142000.0,101755.4296875,595938,2026-02-19 06:47:45.287325+00:00
2016-09-26,140500.0,141500.0,139000.0,140500.0,100680.546875,444564,2026-02-19 06:47:45.287325+00:00
2016-09-27,140000.0,142000.0,138500.0,141500.0,101397.140625,451975,2026-02-19 06:47:45.287325+00:00
2016-09-28,141000.0,141500.0,138000.0,138500.0,99247.390625,513300,2026-02-19 06:47:45.287325+00:00
2016-09-29,138500.0,139500.0,138000.0,139500.0,99963.9765625,473726,2026-02-19 06:47:45.287325+00:00
2016-09-30,138500.0,139500.0,135000.0,135500.0,97097.59375,617732,2026-02-19 06:47:45.287325+00:00
2016-10-04,138500.0,141000.0,137500.0,139000.0,99605.6640625,707562,2026-02-19 06:47:45.287325+00:00
2016-10-05,137500.0,140500.0,136500.0,140000.0,100322.2734375,549606,2026-02-19 06:47:45.287325+00:00
2016-10-06,139000.0,140000.0,138500.0,139000.0,99605.6640625,271808,2026-02-19 06:47:45.287325+00:00
2016-10-07,138500.0,139000.0,135500.0,136500.0,97814.2109375,449894,2026-02-19 06:47:45.287325+00:00
2016-10-10,134000.0,135000.0,131000.0,133500.0,95664.4296875,687120,2026-02-19 06:47:45.287325+00:00
2016-10-11,135000.0,135500.0,133500.0,134500.0,96381.0390625,355273,2026-02-19 06:47:45.287325+00:00
2016-10-12,134500.0,137000.0,133500.0,136500.0,97814.2109375,418529,2026-02-19 06:47:45.287325+00:00
2016-10-13,136500.0,137000.0,133500.0,134000.0,96022.75,444173,2026-02-19 06:47:45.287325+00:00
2016-10-14,133500.0,135000.0,133000.0,133000.0,95306.15625,385561,2026-02-19 06:47:45.287325+00:00
2016-10-17,134500.0,136500.0,133000.0,133000.0,95306.15625,552827,2026-02-19 06:47:45.287325+00:00
2016-10-18,133500.0,135500.0,132500.0,134500.0,96381.0390625,357363,2026-02-19 06:47:45.287325+00:00
2016-10-19,134500.0,135500.0,132500.0,133000.0,95306.15625,474445,2026-02-19 06:47:45.287325+00:00
2016-10-20,133500.0,134000.0,131500.0,132000.0,94589.5703125,411425,2026-02-19 06:47:45.287325+00:00
2016-10-21,132500.0,135000.0,132000.0,133500.0,95664.4296875,375157,2026-02-19 06:47:45.287325+00:00
2016-10-24,134500.0,134500.0,133500.0,134500.0,96381.0390625,256889,2026-02-19 06:47:45.287325+00:00
2016-10-25,135000.0,139500.0,134500.0,138000.0,98889.0859375,863431,2026-02-19 06:47:45.287325+00:00
2016-10-26,137500.0,138500.0,135000.0,137500.0,98530.7890625,551856,2026-02-19 06:47:45.287325+00:00
2016-10-27,139000.0,139500.0,135500.0,138000.0,98889.0859375,503571,2026-02-19 06:47:45.287325+00:00
2016-10-28,138000.0,141500.0,137500.0,140500.0,100680.546875,708752,2026-02-19 06:47:45.287325+00:00
2016-10-31,139000.0,141000.0,139000.0,140000.0,100322.2734375,394472,2026-02-19 06:47:45.287325+00:00
2016-11-01,141000.0,141500.0,140000.0,141500.0,101397.140625,436941,2026-02-19 06:47:45.287325+00:00
2016-11-02,141000.0,141500.0,139500.0,139500.0,99963.9765625,655976,2026-02-19 06:47:45.287325+00:00
2016-11-03,139500.0,140000.0,136000.0,136500.0,97814.2109375,520972,2026-02-19 06:47:45.287325+00:00
2016-11-04,136500.0,137000.0,135500.0,136000.0,97455.90625,345493,2026-02-19 06:47:45.287325+00:00
2016-11-07,137500.0,138000.0,136000.0,137000.0,98172.4921875,388228,2026-02-19 06:47:45.287325+00:00
2016-11-08,137500.0,139500.0,137000.0,138500.0,99247.390625,341446,2026-02-19 06:47:45.287325+00:00
2016-11-09,138000.0,140000.0,130500.0,134000.0,96022.75,1054746,2026-02-19 06:47:45.287325+00:00
2016-11-10,135000.0,135000.0,129000.0,129000.0,92439.7890625,1253550,2026-02-19 06:47:45.287325+00:00
2016-11-11,130000.0,132000.0,130000.0,131500.0,94231.2890625,571291,2026-02-19 06:47:45.287325+00:00
2016-11-14,132000.0,134000.0,131000.0,132000.0,94589.5703125,369913,2026-02-19 06:47:45.287325+00:00
2016-11-15,131500.0,132000.0,129500.0,130500.0,93514.6875,416685,2026-02-19 06:47:45.287325+00:00
2016-11-16,130500.0,133500.0,130000.0,131000.0,93872.96875,379475,2026-02-19 06:47:45.287325+00:00
2016-11-17,131000.0,133000.0,131000.0,132000.0,94589.5703125,217101,2026-02-19 06:47:45.287325+00:00
2016-11-18,131500.0,132000.0,129500.0,129500.0,92798.0859375,282286,2026-02-19 06:47:45.287325+00:00
2016-11-21,130000.0,133500.0,129500.0,133500.0,95664.4296875,392922,2026-02-19 06:47:45.287325+00:00
2016-11-22,133500.0,134500.0,132500.0,133500.0,95664.4296875,366844,2026-02-19 06:47:45.287325+00:00
2016-11-23,134500.0,135000.0,132500.0,134000.0,96022.75,292727,2026-02-19 06:47:45.287325+00:00
2016-11-24,133500.0,136000.0,133000.0,135000.0,96739.328125,340767,2026-02-19 06:47:45.287325+00:00
2016-11-25,135500.0,136000.0,134500.0,136000.0,97455.90625,180033,2026-02-19 06:47:45.287325+00:00
2016-11-28,135000.0,136000.0,133500.0,135000.0,96739.328125,256341,2026-02-19 06:47:45.287325+00:00
2016-11-29,133000.0,135500.0,133000.0,134500.0,96381.0390625,312216,2026-02-19 06:47:45.287325+00:00
2016-11-30,133500.0,134500.0,132500.0,133000.0,95306.15625,1188767,2026-02-19 06:47:45.287325+00:00
2016-12-01,133000.0,135500.0,132000.0,132000.0,94589.5703125,478362,2026-02-19 06:47:45.287325+00:00
2016-12-02,134000.0,136000.0,133000.0,133500.0,95664.4296875,403575,2026-02-19 06:47:45.287325+00:00
2016-12-05,134500.0,135500.0,133000.0,134000.0,96022.75,244209,2026-02-19 06:47:45.287325+00:00
2016-12-06,135500.0,137000.0,135000.0,136500.0,97814.2109375,374760,2026-02-19 06:47:45.287325+00:00
2016-12-07,138000.0,138000.0,136500.0,136500.0,97814.2109375,279131,2026-02-19 06:47:45.287325+00:00
2016-12-08,138500.0,142000.0,138000.0,142000.0,101755.4296875,889649,2026-02-19 06:47:45.287325+00:00
2016-12-09,142000.0,145000.0,141000.0,144000.0,103188.609375,647418,2026-02-19 06:47:45.287325+00:00
2016-12-12,146000.0,148000.0,143500.0,144500.0,103546.921875,378077,2026-02-19 06:47:45.287325+00:00
2016-12-13,144500.0,145000.0,142500.0,145000.0,103905.2109375,283933,2026-02-19 06:47:45.287325+00:00
2016-12-14,144500.0,145000.0,142000.0,143500.0,102830.3125,261384,2026-02-19 06:47:45.287325+00:00
2016-12-15,142000.0,143000.0,141000.0,142000.0,101755.4296875,285737,2026-02-19 06:47:45.287325+00:00
2016-12-16,141000.0,142000.0,139000.0,139500.0,99963.9765625,523767,2026-02-19 06:47:45.287325+00:00
2016-12-19,140000.0,142500.0,139500.0,142000.0,101755.4296875,293868,2026-02-19 06:47:45.287325+00:00
2016-12-20,141500.0,144000.0,141500.0,143500.0,102830.3125,399511,2026-02-19 06:47:45.287325+00:00
2016-12-21,144500.0,144500.0,142500.0,143500.0,102830.3125,310188,2026-02-19 06:47:45.287325+00:00
2016-12-22,143000.0,143000.0,141000.0,142000.0,101755.4296875,334338,2026-02-19 06:47:45.287325+00:00
2016-12-23,143000.0,144000.0,142000.0,144000.0,103188.609375,357914,2026-02-19 06:47:45.287325+00:00
2016-12-26,143500.0,145000.0,143500.0,144500.0,103546.921875,206099,2026-02-19 06:47:45.287325+00:00
2016-12-27,144500.0,145000.0,144000.0,144500.0,103546.921875,337224,2026-02-19 06:47:45.287325+00:00
2016-12-28,142500.0,144000.0,141500.0,143500.0,105010.4609375,377265,2026-02-19 06:47:45.287325+00:00
2016-12-29,142500.0,146000.0,142000.0,146000.0,106839.9140625,381283,2026-02-19 06:47:45.287325+00:00
